player_name,birthday,bmi,date,overall_rating,potential,preferred_foot,long_shots,attack,skill,movement,power,mentality,defend,goal_keep
Aaron Appindangoye,1992-02-29,25.36,2016-02-18,67.0,71.0,right,35.0,53.8,49.6,59.0,55.6,57.6,67.7,8.6
Aaron Cresswell,1989-12-15,22.87,2016-04-21,74.0,76.0,left,62.0,60.4,70.2,78.4,70.6,64.0,76.3,10.2
Aaron Doran,1991-05-13,25.53,2016-01-07,65.0,67.0,right,57.0,60.0,65.0,75.8,64.0,61.6,23.0,12.2
Aaron Galindo,1982-05-08,26.85,2016-04-21,69.0,69.0,right,29.0,51.8,51.4,45.4,59.6,49.8,70.3,12.6
Aaron Hunt,1986-09-04,21.84,2016-04-28,77.0,77.0,left,76.0,73.8,76.0,74.4,71.4,69.6,32.3,13.0
Aaron Kuhl,1996-01-30,22.2,2016-04-21,61.0,74.0,right,38.0,45.0,55.4,67.4,57.8,54.2,55.7,12.8
Aaron Lennox,1993-02-19,22.62,2016-02-25,48.0,56.0,right,12.0,16.0,17.4,28.2,27.6,22.0,14.0,47.4
Aaron Mooy,1990-09-15,22.15,2016-02-04,75.0,78.0,right,72.0,66.6,75.2,68.8,72.2,73.0,61.0,10.8
Aaron Niguez,1989-04-26,22.4,2016-04-28,70.0,71.0,left,72.0,62.0,68.2,78.4,66.8,57.8,34.7,12.2
Aaron Ramsey,1990-12-26,22.1,2016-03-10,82.0,85.0,right,75.0,74.0,76.6,74.4,76.4,76.4,68.0,8.0
Aaron Splaine,1996-10-13,24.78,2016-04-14,55.0,63.0,left,52.0,49.4,49.0,63.2,50.0,48.2,45.0,11.0
Aaron Taylor-Sinclair,1991-04-08,23.87,2016-04-28,64.0,68.0,left,30.0,46.8,58.0,70.2,62.2,51.8,60.3,9.8
Aaron Wilbraham,1979-10-21,19.87,2016-04-21,65.0,65.0,right,47.0,63.6,47.6,53.4,64.2,61.8,20.7,10.8
Aatif Chahechouhe,1986-07-02,22.15,2016-05-12,75.0,75.0,right,74.0,72.4,71.2,77.6,69.2,62.4,25.7,10.0
Abdelaziz Barrada,1989-06-19,23.1,2016-06-23,74.0,75.0,right,70.0,67.6,76.6,75.2,68.0,64.4,36.7,9.4
Abdelhamid El Kaoutari,1990-03-17,22.45,2016-03-17,73.0,75.0,left,38.0,47.2,43.2,62.2,61.6,57.8,76.0,9.4
Abdelkader Ghezzal,1984-12-05,23.33,2016-02-04,67.0,67.0,right,69.0,65.8,64.2,69.0,68.4,54.2,30.7,8.0
Abdelmalek El Hasnaoui,1994-02-09,22.18,2016-02-04,63.0,72.0,left,52.0,47.4,61.4,73.8,56.0,43.8,35.0,10.4
Abdou Diallo,1996-05-04,21.56,2016-04-28,66.0,77.0,left,24.0,45.8,47.4,61.0,56.4,46.6,70.0,8.2
Abdou Traore,1988-01-17,24.27,2016-04-21,70.0,70.0,right,61.0,64.8,67.8,71.0,60.4,59.4,62.7,11.4
Abdoul Ba,1994-02-08,23.88,2016-03-10,64.0,70.0,right,27.0,42.0,35.6,46.2,49.6,42.8,67.3,12.0
Abdoul Karim Yoda,1988-10-25,21.84,2016-01-21,72.0,73.0,left,53.0,60.8,62.8,74.0,67.8,58.6,44.0,11.6
Abdoul Razzagui Camara,1990-02-20,22.53,2016-04-21,72.0,73.0,left,70.0,67.4,66.2,77.2,71.8,58.2,25.3,13.6
Abdoulay Konko,1984-03-09,21.29,2016-04-21,75.0,75.0,right,64.0,66.8,68.8,77.0,71.0,65.0,73.0,12.4
Abdoulaye Ba,1991-01-01,20.11,2016-06-09,73.0,77.0,right,50.0,45.2,45.0,44.2,65.6,56.8,73.7,13.0
Abdoulaye Bamba,1990-04-25,20.34,2016-04-28,69.0,71.0,right,53.0,53.8,56.4,73.4,65.6,49.4,67.0,10.0
Abdoulaye Diaby,1991-05-21,23.42,2016-04-21,73.0,76.0,left,63.0,70.2,58.8,84.4,69.6,60.2,44.3,10.0
"Abdoulaye Diallo Sadio,22",1990-12-28,22.78,2016-03-24,73.0,75.0,right,72.0,69.0,70.8,71.4,72.2,61.6,34.7,11.4
Abdoulaye Diallo,1992-03-30,22.34,2016-04-21,69.0,74.0,right,12.0,16.8,17.2,52.4,40.6,19.4,17.0,68.2
Abdoulaye Doucoure,1993-01-01,22.38,2016-03-03,73.0,79.0,right,74.0,69.2,61.4,64.8,75.6,65.2,68.3,13.6
Abdoulaye Keita,1994-01-05,24.37,2016-02-25,60.0,68.0,right,55.0,48.2,51.6,62.4,58.6,59.0,56.7,10.8
Abdoulaye Toure,1994-03-03,21.83,2016-05-05,64.0,74.0,right,61.0,50.6,54.4,55.2,65.2,52.6,59.0,9.6
Abdoulwahid Sissoko,1990-03-20,22.38,2016-03-31,69.0,71.0,left,52.0,62.6,59.0,68.4,67.6,64.6,64.3,9.8
Abdul Aziz Tetteh,1989-02-10,25.77,2016-05-05,67.0,68.0,right,66.0,49.2,58.8,60.0,72.6,60.8,66.0,12.0
Abdul Osman,1987-02-27,20.89,2016-05-12,66.0,66.0,right,25.0,47.6,50.0,66.0,57.4,55.0,64.7,10.2
Abdul Rahman Baba,1994-07-02,22.1,2016-03-17,77.0,84.0,left,47.0,61.8,62.0,79.4,66.0,59.6,76.7,10.0
Abdullah Al Hafith,1992-12-25,21.18,2016-04-21,63.0,68.0,right,39.0,42.6,39.4,61.4,58.6,52.2,60.3,10.8
Abdullahi Shehu,1993-03-12,22.18,2016-04-21,71.0,76.0,right,48.0,56.2,61.4,71.4,67.2,65.8,66.3,13.0
Abel Aguilar,1985-01-06,23.22,2016-04-14,73.0,73.0,right,60.0,63.0,65.4,53.6,69.8,72.0,69.7,11.0
Abel Hernandez,1990-08-08,21.24,2016-04-21,73.0,76.0,left,66.0,66.4,63.4,78.6,70.6,59.0,23.0,8.6
Abel Issa Camara,1990-01-06,23.62,2016-05-05,69.0,71.0,right,74.0,63.8,58.0,67.6,75.8,54.8,17.0,9.0
Abel Tamata,1990-12-05,23.06,2016-03-24,68.0,71.0,right,51.0,57.4,54.0,66.8,65.0,57.2,70.3,8.0
Abella Perez Damia,1982-04-15,22.34,2016-01-28,71.0,71.0,right,58.0,58.0,61.6,65.6,72.8,63.4,68.0,13.0
Abiola Dauda,1988-02-03,23.01,2016-06-09,67.0,67.0,right,65.0,59.8,51.6,72.6,63.2,47.8,29.3,12.6
Abraham Gonzalez,1985-07-16,25.25,2016-04-28,73.0,73.0,right,73.0,61.0,73.6,55.4,62.0,68.2,68.0,9.0
Abraham Minero,1986-02-22,23.18,2016-03-24,71.0,71.0,left,60.0,56.0,67.6,76.4,70.0,66.4,71.0,10.2
Achille Emana,1982-06-05,23.71,2016-03-31,76.0,76.0,right,70.0,68.2,73.8,70.0,67.4,69.8,53.7,11.8
Achille Vaarnold,1996-01-26,23.18,2016-02-04,61.0,71.0,left,44.0,52.0,56.6,73.0,50.2,43.2,23.0,9.4
Achraf Lazaar,1992-09-22,22.78,2016-04-21,73.0,78.0,left,71.0,58.6,65.2,76.8,73.6,61.6,71.7,10.6
Adalberto Penaranda,1997-05-31,23.33,2016-07-07,72.0,84.0,right,70.0,63.4,56.8,70.8,66.2,52.0,20.3,9.4
Adam Armstrong,1997-02-10,23.11,2016-06-09,67.0,83.0,right,67.0,57.6,63.0,81.4,67.4,60.0,19.3,11.0
Adam Bodzek,1985-09-07,23.6,2016-04-21,69.0,69.0,right,59.0,55.4,62.4,61.6,71.0,61.4,70.0,11.8
Adam Bogdan,1987-09-27,24.1,2016-03-17,73.0,73.0,right,14.0,12.8,14.2,50.2,40.0,22.6,14.0,72.6
Adam Buksa,1996-07-12,21.5,2016-04-21,62.0,75.0,right,46.0,58.2,53.6,59.6,61.8,52.6,21.7,10.0
